Wall time,Step,Value
1677514677.5339108,8192,-424.8508605957031
1677514679.1105027,10240,-382.8914489746094
1677514687.4208343,22528,-47.947784423828125
1677514693.2210858,30720,-28.472288131713867
1677514694.526116,32768,-25.482860565185547
1677514698.722253,38912,-16.364458084106445
1677514700.275292,40960,-13.959297180175781
1677514701.5277424,43008,-12.739517211914062
1677514704.3602211,47104,-11.021543502807617
1677514705.6307397,49152,-10.392108917236328
1677514709.9829168,55296,-8.569313049316406
1677514711.2340913,57344,-8.210546493530273
1677514719.5372543,69632,-6.7989349365234375
1677514726.445706,79872,-6.290019512176514
1677514729.2368815,83968,-6.149566173553467
1677514739.047589,98304,-5.953345775604248
1677514740.6134999,100352,-5.902529716491699
1677514741.9244092,102400,-5.869150638580322
1677514744.802644,106496,-5.834335803985596
1677514748.9770403,112640,-5.76748514175415
1677514753.0224314,118784,-5.712054252624512
1677514757.1747475,124928,-5.675246715545654
1677514758.7013812,126976,-5.659106254577637
1677514759.944031,129024,-5.674205303192139
1677514761.4447107,131072,-5.672678470611572
1677514764.215979,135168,-5.73173713684082
1677514765.489307,137216,-5.9313554763793945
1677514766.763866,139264,-6.603670120239258
1677514768.2921312,141312,-6.854869842529297
1677514771.0619178,145408,-7.195446014404297
1677514772.3315032,147456,-7.1280131340026855
1677514780.607402,159744,-6.12694787979126
1677514783.4039218,163840,-6.085001468658447
1677514784.9013145,165888,-6.017230033874512
1677514787.3888514,169984,-5.897387981414795
1677514791.6961505,176128,-5.707989692687988
1677514797.0399926,184320,-5.548310279846191
1677514810.8389666,204800,-6.799648284912109
1677514812.450766,206848,-6.929848670959473
1677514816.6091392,212992,-7.2595133781433105
1677514820.700336,219136,-7.038038730621338
1677514822.236438,221184,-6.910983085632324
1677514825.0377564,225280,-6.482868671417236
1677514834.2925599,239616,-5.698065280914307
1677514841.0761917,249856,-7.165491104125977
1677514846.6296713,258048,-7.442997932434082
1677514848.1455164,260096,-7.392750263214111
1677514850.8252501,264192,-7.302670001983643
1677514853.6399665,268288,-7.450124740600586
1677514855.2557607,270336,-7.238004207611084
1677514862.1315005,280576,-6.625922203063965
1677514863.4061892,282624,-6.663469314575195
1677514873.2277603,296960,-6.349445343017578
1677514876.0467234,301056,-6.588128566741943
1677514877.3387673,303104,-6.681551933288574
1677514881.3951716,309248,-6.874221324920654
1677514891.2179801,323584,-6.363639831542969
1677514895.3355997,329728,-6.13936185836792
